Size,Matrix A File,Matrix B File,Mean Time (s),Median Time (s),Std Time (s),Mean CPU (%),Median CPU (%),Std CPU (%),Mean Memory (MB),Median Memory (MB),Std Memory (MB),Language
10,matrices/A_10.bin,matrices/B_10.bin,0.000003,0.000003,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Rust
100,matrices/A_100.bin,matrices/B_100.bin,0.001949,0.001917,0.000090,44.147187,0.000000,113.466383,0.640000,0.000000,4.480000,Rust
1000,matrices/A_1000.bin,matrices/B_1000.bin,2.133238,2.131561,0.082728,99.230164,99.452927,1.003475,1080863910568915.250000,0.000000,4278182607876272.500000,Rust
